p,n1,n2,N,alpha,u,partition,count,frequency,conjectured_prob
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1]",11,0.022,4.127423088248233e-21
2,100,45,500,0.450000,0.500000,"[1,1,1,1]",22,0.044,0.004660249353278973
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1]",6,0.012,4.551024759061497e-05
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1]",7,0.014,5.038358262021769e-25
2,100,45,500,0.450000,0.500000,[2],9,0.018,0.10485561044877689
2,100,45,500,0.450000,0.500000,"[4,2,1,1,1,1,1,1,1]",2,0.004,1.3778398177923466e-13
2,100,45,500,0.450000,0.500000,"[3,3,1,1,1,1,1,1]",2,0.004,2.351513289032272e-11
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1]",6,0.012,8.450898773188257e-18
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1]",23,0.046,9.246526494601137e-06
2,100,45,500,0.450000,0.500000,"[7,1,1,1,1,1]",1,0.002,1.4221952372067178e-07
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1]",8,0.016,4.551024759061497e-06
2,100,45,500,0.450000,0.500000,[4],1,0.002,0.026213902612194223
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1]",10,0.02,5.643631893677452e-10
2,100,45,500,0.450000,0.500000,[1],29,0.058,0.20971122089755379
2,100,45,500,0.450000,0.500000,"[1,1,1]",17,0.034,0.0349518701495923
2,100,45,500,0.450000,0.500000,"[1,1]",24,0.048,0.1398074805983692
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1,1,1]",5,0.01,2.3703253953445298e-08
2,100,45,500,0.450000,0.500000,"[4,3,1,1,1]",1,0.002,2.133292855810077e-06
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1,1,1,1,1,1]",13,0.026,8.653720343744775e-15
2,100,45,500,0.450000,0.500000,"[3,2,1,1]",3,0.006,0.00027306148554368984
2,100,45,500,0.450000,0.500000,"[4,1]",1,0.002,0.013106951306097112
2,100,45,500,0.450000,0.500000,"[4,2,1,1,1,1,1,1,1,1,1]",1,0.002,2.638326856985958e-19
2,100,45,500,0.450000,0.500000,[3],4,0.008,0.052427805224388446
2,100,45,500,0.450000,0.500000,"[5,2,1,1,1,1,1,1,1,1]",1,0.002,1.3508233507768105e-16
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1,1,1,1]",2,0.004,2.1127246932970643e-18
2,100,45,500,0.450000,0.500000,"[3,3]",1,0.002,0.0021844918843495187
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1,1]",3,0.006,6.150339675319542e-29
2,100,45,500,0.450000,0.500000,"[2,1]",10,0.02,0.052427805224388446
2,100,45,500,0.450000,0.500000,"[2,1,1,1]",8,0.016,0.0021844918843495187
2,100,45,500,0.450000,0.500000,"[1,1,1,1,1]",16,0.032,0.0002912655845799358
2,100,45,500,0.450000,0.500000,"[2,2,1,1,1,1,1,1,1,1,1,1,1,1,1]",2,0.004,1.2512898102456751e-33
2,100,45,500,0.450000,0.500000,"[5,1,1,1]",1,0.002,0.00027306148554368984
2,100,45,500,0.450000,0.500000,"[5,1,1,1,1]",1,0.002,1.8204099036245988e-05
2,100,45,500,0.450000,0.500000,"[3,1,1,1,1,1,1,1,1]",2,0.004,1.1065944889563631e-12
2,100,45,500,0.450000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,1.1456599617704404e-37
2,100,45,500,0.450000,0.500000,"[2,2]",4,0.008,0.01747593507479615
