p,n1,n2,N,alpha,u,partition,count,frequency,conjectured_prob_P_infty_q
3,30,13,100,0.450000,0.500000,[3],3,0.03,0.001728784191135645
3,30,13,100,0.450000,0.500000,"[2,1]",4,0.04,0.0002881306985226075
3,30,13,100,0.450000,0.500000,[],41,0.41,0.8401891168919234
3,30,13,100,0.450000,0.500000,[1],27,0.27,0.14003151948198725
3,30,13,100,0.450000,0.500000,"[1,1]",3,0.03,0.0019448822150276005
3,30,13,100,0.450000,0.500000,[2],12,0.12,0.015559057720220804
3,30,13,100,0.450000,0.500000,"[3,1,1]",2,0.02,4.940512663282021e-08
3,30,13,100,0.450000,0.500000,"[1,1,1,1]",1,0.01,4.275443650917134e-10
3,30,13,100,0.450000,0.500000,"[3,1,1,1]",1,0.01,7.819741474013962e-12
3,30,13,100,0.450000,0.500000,"[3,2]",1,0.01,3.952410130625617e-07
3,30,13,100,0.450000,0.500000,[4],2,0.02,0.000192087132348405
3,30,13,100,0.450000,0.500000,[5],1,0.01,2.1343014705378332e-05
3,30,13,100,0.450000,0.500000,"[1,1,1]",1,0.01,2.770487485794303e-06
3,30,13,100,0.450000,0.500000,"[2,1,1,1]",1,0.01,7.037767326612567e-11
3,30,18,100,0.600000,0.500000,[],50,0.5,0.8401891168919234
3,30,18,100,0.600000,0.500000,[2],9,0.09,0.015559057720220804
3,30,18,100,0.600000,0.500000,[1],33,0.33,0.14003151948198725
3,30,18,100,0.600000,0.500000,[3],6,0.06,0.001728784191135645
3,30,18,100,0.600000,0.500000,"[1,1,1]",1,0.01,2.770487485794303e-06
3,30,18,100,0.600000,0.500000,"[1,1]",1,0.01,0.0019448822150276005
3,30,24,100,0.800000,0.500000,[],62,0.62,0.8401891168919234
3,30,24,100,0.800000,0.500000,[1],25,0.25,0.14003151948198725
3,30,24,100,0.800000,0.500000,[5],1,0.01,2.1343014705378332e-05
3,30,24,100,0.800000,0.500000,[2],7,0.07,0.015559057720220804
3,30,24,100,0.800000,0.500000,[3],1,0.01,0.001728784191135645
3,30,24,100,0.800000,0.500000,"[1,1]",1,0.01,0.0019448822150276005
3,30,24,100,0.800000,0.500000,[4],1,0.01,0.000192087132348405
3,30,24,100,0.800000,0.500000,"[2,1]",1,0.01,0.0002881306985226075
3,30,24,100,0.800000,0.500000,"[5,1]",1,0.01,3.952410130625617e-07
3,30,21,100,0.700000,0.200000,[1],33,0.33,0.14003151948198725
3,30,21,100,0.700000,0.200000,[],48,0.48,0.8401891168919234
3,30,21,100,0.700000,0.200000,[3],3,0.03,0.001728784191135645
3,30,21,100,0.700000,0.200000,[2],11,0.11,0.015559057720220804
3,30,21,100,0.700000,0.200000,"[1,1]",2,0.02,0.0019448822150276005
3,30,21,100,0.700000,0.200000,"[3,1]",1,0.01,3.20145220580675e-05
3,30,21,100,0.700000,0.200000,"[2,1]",1,0.01,0.0002881306985226075
3,30,21,100,0.700000,0.200000,[4],1,0.01,0.000192087132348405
3,30,21,100,0.700000,0.800000,[],46,0.46,0.8401891168919234
3,30,21,100,0.700000,0.800000,[1],34,0.34,0.14003151948198725
3,30,21,100,0.700000,0.800000,[2],12,0.12,0.015559057720220804
3,30,21,100,0.700000,0.800000,[6],1,0.01,2.37144607837537e-06
3,30,21,100,0.700000,0.800000,[3],4,0.04,0.001728784191135645
3,30,21,100,0.700000,0.800000,"[2,1]",2,0.02,0.0002881306985226075
3,30,21,100,0.700000,0.800000,[4],1,0.01,0.000192087132348405
