p,n1,n2,N,alpha,u,rank,count,frequency,conjectured_prob_rank_directed
3,100,30,500,0.300000,0.500000,0,95,0.19,0.8401891168919234
3,100,30,500,0.300000,0.500000,1,63,0.126,0.15753545941723565
3,100,30,500,0.300000,0.500000,2,42,0.084,0.0022721460492870524
3,100,30,500,0.300000,0.500000,3,49,0.098,3.277133724933249e-06
3,100,30,500,0.300000,0.500000,4,39,0.078,5.078203086156894e-10
3,100,30,500,0.300000,0.500000,5,39,0.078,8.647380607160272e-15
3,100,30,500,0.300000,0.500000,6,40,0.08,1.630137703309322e-20
3,100,30,500,0.300000,0.500000,7,27,0.054,3.4102918725648574e-27
3,100,30,500,0.300000,0.500000,8,16,0.032,7.923913717199952e-35
3,100,30,500,0.300000,0.500000,9,24,0.048,2.0454391908640307e-43
3,100,30,500,0.300000,0.500000,10,16,0.032,5.866394771587141e-53
3,100,30,500,0.300000,0.500000,11,15,0.03,1.8694202807612054e-63
3,100,30,500,0.300000,0.500000,12,10,0.02,6.619084513098079e-75
3,100,30,500,0.300000,0.500000,13,14,0.028,2.604028102064591e-87
3,100,30,500,0.300000,0.500000,14,3,0.006,1.1382840636895473e-100
3,100,30,500,0.300000,0.500000,15,6,0.012,5.52857307588287e-115
3,100,30,500,0.300000,0.500000,17,1,0.002,1.788999671604177e-146
3,100,30,500,0.300000,0.500000,20,1,0.002,7.257503015674571e-201
3,100,40,500,0.400000,0.500000,0,391,0.782,0.8401891168919234
3,100,40,500,0.400000,0.500000,1,85,0.17,0.15753545941723565
3,100,40,500,0.400000,0.500000,2,12,0.024,0.0022721460492870524
3,100,40,500,0.400000,0.500000,3,5,0.01,3.277133724933249e-06
3,100,40,500,0.400000,0.500000,4,2,0.004,5.078203086156894e-10
3,100,40,500,0.400000,0.500000,5,3,0.006,8.647380607160272e-15
3,100,40,500,0.400000,0.500000,7,1,0.002,3.4102918725648574e-27
3,100,40,500,0.400000,0.500000,8,1,0.002,7.923913717199952e-35
3,100,70,500,0.700000,0.500000,0,407,0.814,0.8401891168919234
3,100,70,500,0.700000,0.500000,1,90,0.18,0.15753545941723565
3,100,70,500,0.700000,0.500000,2,3,0.006,0.0022721460492870524
3,100,70,500,0.700000,0.200000,0,424,0.848,0.8401891168919234
3,100,70,500,0.700000,0.200000,1,76,0.152,0.15753545941723565
3,100,70,500,0.700000,0.800000,0,418,0.836,0.8401891168919234
3,100,70,500,0.700000,0.800000,1,81,0.162,0.15753545941723565
3,100,70,500,0.700000,0.800000,2,1,0.002,0.0022721460492870524
