p,n1,n2,N,alpha,u,rank,count,frequency,conjectured_prob_rank
3,100,30,500,0.300000,0.500000,0,58,0.116,0.6390045766374778
3,100,30,500,0.300000,0.500000,1,60,0.12,0.3195022883187389
3,100,30,500,0.300000,0.500000,2,41,0.082,0.03993778603984236
3,100,30,500,0.300000,0.500000,3,52,0.104,0.0015360686938400909
3,100,30,500,0.300000,0.500000,4,37,0.074,1.9200858673001134e-05
3,100,30,500,0.300000,0.500000,5,33,0.066,7.934239121074849e-08
3,100,30,500,0.300000,0.500000,6,35,0.07,1.0898680111366551e-10
3,100,30,500,0.300000,0.500000,7,52,0.104,4.985672512061551e-14
3,100,30,500,0.300000,0.500000,8,33,0.066,7.600110536679194e-18
3,100,30,500,0.300000,0.500000,9,24,0.048,3.86145236087755e-22
3,100,30,500,0.300000,0.500000,10,15,0.03,6.539514227200836e-27
3,100,30,500,0.300000,0.500000,11,18,0.036,3.6915957612369663e-32
3,100,30,500,0.300000,0.500000,12,7,0.014,6.946401778633461e-38
3,100,30,500,0.300000,0.500000,13,11,0.022,4.35696288367937e-44
3,100,30,500,0.300000,0.500000,14,11,0.022,9.109328943198805e-51
3,100,30,500,0.300000,0.500000,15,3,0.006,6.3484484065884924e-58
3,100,30,500,0.300000,0.500000,16,4,0.008,1.4747809836820301e-65
3,100,30,500,0.300000,0.500000,17,3,0.006,1.1420002583565213e-73
3,100,30,500,0.300000,0.500000,18,1,0.002,2.947702286608346e-82
3,100,30,500,0.300000,0.500000,20,1,0.002,7.273688274899869e-101
3,100,30,500,0.300000,0.500000,22,1,0.002,2.2158519082047863e-121
3,100,40,500,0.400000,0.500000,0,290,0.58,0.6390045766374778
3,100,40,500,0.400000,0.500000,1,161,0.322,0.3195022883187389
3,100,40,500,0.400000,0.500000,2,25,0.05,0.03993778603984236
3,100,40,500,0.400000,0.500000,3,8,0.016,0.0015360686938400909
3,100,40,500,0.400000,0.500000,4,7,0.014,1.9200858673001134e-05
3,100,40,500,0.400000,0.500000,5,6,0.012,7.934239121074849e-08
3,100,40,500,0.400000,0.500000,6,1,0.002,1.0898680111366551e-10
3,100,40,500,0.400000,0.500000,9,1,0.002,3.86145236087755e-22
3,100,40,500,0.400000,0.500000,12,1,0.002,6.946401778633461e-38
3,100,70,500,0.700000,0.500000,0,312,0.624,0.6390045766374778
3,100,70,500,0.700000,0.500000,1,169,0.338,0.3195022883187389
3,100,70,500,0.700000,0.500000,2,18,0.036,0.03993778603984236
3,100,70,500,0.700000,0.500000,3,1,0.002,0.0015360686938400909
3,100,70,500,0.700000,0.200000,0,310,0.62,0.6390045766374778
3,100,70,500,0.700000,0.200000,1,169,0.338,0.3195022883187389
3,100,70,500,0.700000,0.200000,2,21,0.042,0.03993778603984236
3,100,70,500,0.700000,0.800000,0,327,0.654,0.6390045766374778
3,100,70,500,0.700000,0.800000,1,147,0.294,0.3195022883187389
3,100,70,500,0.700000,0.800000,2,25,0.05,0.03993778603984236
3,100,70,500,0.700000,0.800000,3,1,0.002,0.0015360686938400909
