p,n1,n2,N,alpha,u,rank,count,frequency,conjectured_prob_rank
2,100,45,500,0.450000,0.500000,0,11,0.022,0.20971122089755379
2,100,45,500,0.450000,0.500000,1,45,0.09,0.41942244179510757
2,100,45,500,0.450000,0.500000,2,46,0.092,0.2796149611967384
2,100,45,500,0.450000,0.500000,3,35,0.07,0.07988998891335383
2,100,45,500,0.450000,0.500000,4,47,0.094,0.01065199852178051
2,100,45,500,0.450000,0.500000,5,51,0.102,0.0006872257110826135
2,100,45,500,0.450000,0.500000,6,45,0.09,2.181668924071789e-05
2,100,45,500,0.450000,0.500000,7,41,0.082,3.4356990930264396e-07
2,100,45,500,0.450000,0.500000,8,35,0.07,2.6946659553148548e-09
2,100,45,500,0.450000,0.500000,9,21,0.042,1.0546637789882014e-11
2,100,45,500,0.450000,0.500000,10,30,0.06,2.0619037712379305e-14
2,100,45,500,0.450000,0.500000,11,19,0.038,2.0145615742432147e-17
2,100,45,500,0.450000,0.500000,12,21,0.042,9.839128567732429e-21
2,100,45,500,0.450000,0.500000,13,18,0.036,2.4024242626620508e-24
2,100,45,500,0.450000,0.500000,14,11,0.022,2.9328258104889834e-28
2,100,45,500,0.450000,0.500000,15,10,0.02,1.7901094457771438e-32
2,100,45,500,0.450000,0.500000,16,6,0.012,5.463063846119306e-37
2,100,45,500,0.450000,0.500000,17,4,0.008,8.336037485209248e-42
2,100,45,500,0.450000,0.500000,18,1,0.002,6.359916141349758e-47
2,100,45,500,0.450000,0.500000,19,1,0.002,2.4261200988579756e-52
2,100,45,500,0.450000,0.500000,20,1,0.002,4.6274612666866475e-58
2,100,45,500,0.450000,0.500000,21,1,0.002,4.413093064530544e-64
2,100,60,500,0.600000,0.500000,0,108,0.216,0.20971122089755379
2,100,60,500,0.600000,0.500000,1,217,0.434,0.41942244179510757
2,100,60,500,0.600000,0.500000,2,139,0.278,0.2796149611967384
2,100,60,500,0.600000,0.500000,3,35,0.07,0.07988998891335383
2,100,60,500,0.600000,0.500000,5,1,0.002,0.0006872257110826135
2,100,80,500,0.800000,0.500000,0,117,0.234,0.20971122089755379
2,100,80,500,0.800000,0.500000,1,195,0.39,0.41942244179510757
2,100,80,500,0.800000,0.500000,2,134,0.268,0.2796149611967384
2,100,80,500,0.800000,0.500000,3,47,0.094,0.07988998891335383
2,100,80,500,0.800000,0.500000,4,6,0.012,0.01065199852178051
2,100,80,500,0.800000,0.500000,5,1,0.002,0.0006872257110826135
2,100,70,500,0.700000,0.200000,0,98,0.196,0.20971122089755379
2,100,70,500,0.700000,0.200000,1,199,0.398,0.41942244179510757
2,100,70,500,0.700000,0.200000,2,151,0.302,0.2796149611967384
2,100,70,500,0.700000,0.200000,3,41,0.082,0.07988998891335383
2,100,70,500,0.700000,0.200000,4,10,0.02,0.01065199852178051
2,100,70,500,0.700000,0.200000,5,1,0.002,0.0006872257110826135
2,100,70,500,0.700000,0.800000,0,110,0.22,0.20971122089755379
2,100,70,500,0.700000,0.800000,1,207,0.414,0.41942244179510757
2,100,70,500,0.700000,0.800000,2,142,0.284,0.2796149611967384
2,100,70,500,0.700000,0.800000,3,34,0.068,0.07988998891335383
2,100,70,500,0.700000,0.800000,4,7,0.014,0.01065199852178051
