p,n1,n2,N,alpha,u,partition,count,frequency,conjectured_prob
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1]",29,0.058,3.186049653385601e-14
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1]",13,0.026,2.3589482510673082e-32
3,100,30,500,0.300000,0.500000,[],58,0.116,0.6390045766374778
3,100,30,500,0.300000,0.500000,"[1,1,1,1]",26,0.052,1.2326477172790852e-05
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1]",24,0.048,4.856783008209758e-18
3,100,30,500,0.300000,0.500000,"[3,1,1,1,1,1]",2,0.004,7.731480492215725e-12
3,100,30,500,0.300000,0.500000,"[1,1,1]",38,0.076,0.000986118173823268
3,100,30,500,0.300000,0.500000,[2],17,0.034,0.07100050851527531
3,100,30,500,0.300000,0.500000,"[3,1,1,1,1,1,1,1]",2,0.004,5.395603064210404e-19
3,100,30,500,0.300000,0.500000,[1],39,0.078,0.21300152554582594
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]",3,0.006,4.056687621696642e-58
3,100,30,500,0.300000,0.500000,"[1,1]",30,0.06,0.026625190693228242
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1]",21,0.042,6.96789059195431e-11
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1]",26,0.052,5.0726243509427374e-08
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,1.4795924358284414e-38
3,100,30,500,0.300000,0.500000,"[2,1]",6,0.012,0.007888945390586145
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1]",14,0.028,1.0620165511285337e-14
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1]",16,0.032,2.4675014013157334e-22
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1]",10,0.02,4.178806058318204e-27
3,100,30,500,0.300000,0.500000,"[3,2,1]",1,0.002,1.0821598615344507e-05
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1]",4,0.008,8.225004671052445e-23
3,100,30,500,0.300000,0.500000,"[3,1,1,1,1,1,1]",5,0.01,3.5400551704284456e-15
3,100,30,500,0.300000,0.500000,"[3,2,1,1,1,1]",2,0.004,8.590533880239695e-13
3,100,30,500,0.300000,0.500000,"[2,1,1,1]",6,0.012,4.05809948075419e-06
3,100,30,500,0.300000,0.500000,"[5,1,1,1]",1,0.002,1.5029998076867371e-07
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1]",8,0.016,2.7841194411945685e-44
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1]",8,0.016,5.820903341177629e-51
3,100,30,500,0.300000,0.500000,"[1,1,1,1,1,1,1,1,1,1,1,1]",5,0.01,4.438785659843648e-38
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1]",9,0.018,2.3194441476647177e-11
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1,1]",3,0.006,1.9403007080571143e-51
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1]",6,0.012,1.690874783647579e-08
3,100,30,500,0.300000,0.500000,"[3,1,1,1,1,1,1,1,1,1]",2,0.004,4.6430392109674135e-28
3,100,30,500,0.300000,0.500000,"[6,1,1,1,1,1,1,1,1,1,1]",1,0.002,9.707605971470405e-35
3,100,30,500,0.300000,0.500000,"[3,1]",3,0.006,0.002629648463528715
3,100,30,500,0.300000,0.500000,"[3,1,1,1,1,1,1,1,1,1,1,1,1]",1,0.002,3.0934660457717425e-45
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1,1,1,1]",2,0.004,9.280398137315228e-45
3,100,30,500,0.300000,0.500000,"[2,1,1]",8,0.016,0.0003287060579410894
3,100,30,500,0.300000,0.500000,"[4,1,1,1,1,1,1,1]",2,0.004,1.7985343547368012e-19
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1,1,1]",3,0.006,1.392911763290224e-27
3,100,30,500,0.300000,0.500000,"[5,1,1]",1,0.002,1.217429844226257e-05
3,100,30,500,0.300000,0.500000,"[3,2,1,1]",2,0.004,1.5029998076867371e-07
3,100,30,500,0.300000,0.500000,"[4,1,1,1,1,1,1,1,1]",2,0.004,9.13889407894716e-24
3,100,30,500,0.300000,0.500000,"[2,1,1,1,1,1,1,1]",2,0.004,1.618680919263121e-18
3,100,30,500,0.300000,0.500000,"[4,1,1,1,1,1,1]",4,0.008,1.1800183901428153e-15
3,100,30,500,0.300000,0.500000,"[3,1,1]",2,0.004,0.00010956868598036314
